"Date","Cases","Cumul"
"2019-12-02",1,1
"2019-12-03",0,1
"2019-12-04",0,1
"2019-12-05",0,1
"2019-12-06",0,1
"2019-12-07",0,1
"2019-12-08",1,2
"2019-12-09",0,2
"2019-12-10",1,3
"2019-12-11",2,5
"2019-12-12",4,9
"2019-12-13",0,9
"2019-12-14",0,9
"2019-12-15",4,13
"2019-12-16",2,15
"2019-12-17",9,24
"2019-12-18",4,28
"2019-12-19",3,31
"2019-12-20",12,43
"2019-12-21",5,48
"2019-12-22",10,58
"2019-12-23",12,70
"2019-12-24",12,82
"2019-12-25",12,94
"2019-12-26",11,105
"2019-12-27",27,132
"2019-12-28",13,145
"2019-12-29",17,162
"2019-12-30",22,184
"2019-12-31",18,202
